country_code,subnational1_code,subnational2_code,subnational2_name
CA,CA-QC,CA-QC-AB,Abitibi
CA,CA-QC,CA-QC-AO,Abitibi-Ouest
CA,CA-QC,CA-QC-AC,Acton
CA,CA-BC,CA-BC-AC,Alberni-Clayoquot
CA,CA-NB,CA-NB-AL,Albert
CA,CA-ON,CA-ON-AL,Algoma
CA,CA-NS,CA-NS-AP,Annapolis
CA,CA-NS,CA-NS-AG,Antigonish
CA,CA-QC,CA-QC-AL,Antoine-Labelle
CA,CA-QC,CA-QC-AG,Argenteuil
CA,CA-QC,CA-QC-AT,Arthabaska
CA,CA-SK,CA-SK-TR,Assiniboia
CA,CA-AB,CA-AB-TN,Athabasca
CA,CA-NL,CA-NL-ON,Avalon Peninsula-St. John's
CA,CA-QC,CA-QC-AV,Avignon
CA,CA-NU,CA-NU-QK,Baffin
CA,CA-AB,CA-AB-FN,Banff
CA,CA-SK,CA-SK-TV,Battleford
CA,CA-QC,CA-QC-RC,Beauce-Centre
CA,CA-QC,CA-QC-BS,Beauce-Sartigan
CA,CA-QC,CA-QC-BH,Beauharnois-Salaberry
CA,CA-MB,CA-MB-TV,Beausejour Area
CA,CA-QC,CA-QC-BL,Bellechasse
CA,CA-QC,CA-QC-BO,Bonaventure
CA,CA-NL,CA-NL-SE,Bonavista/Trinity-Clarenville
CA,CA-MB,CA-MB-SE,Brandon Area
CA,CA-ON,CA-ON-BN,Brant
CA,CA-QC,CA-QC-BM,Brome-Missisquoi
CA,CA-ON,CA-ON-BC,Bruce
CA,CA-BC,CA-BC-BN,Bulkley-Nechako
CA,CA-NL,CA-NL-TW,Burin Peninsula-Marystown
CA,CA-QC,CA-QC-BC,Bécancour
CA,CA-AB,CA-AB-SI,Calgary
CA,CA-AB,CA-AB-TE,Camrose-Lloydminister
CA,CA-QC,CA-QC-CAN,Caniapiscau
CA,CA-NS,CA-NS-CB,Cape Breton
CA,CA-BC,CA-BC-CP,Capital
CA,CA-BC,CA-BC-CR,Cariboo
CA,CA-NB,CA-NB-CA,Carleton
CA,CA-BC,CA-BC-CC,Central Coast
CA,CA-BC,CA-BC-CK,Central Kootenay
CA,CA-MB,CA-MB-EI,Central Manitoba - Central Plains
CA,CA-NL,CA-NL-SI,Central Newfoundland-Grand Falls-Windsor
CA,CA-BC,CA-BC-CO,Central Okanagan
CA,CA-QC,CA-QC-CV,Charlevoix
CA,CA-QC,CA-QC-CE,Charlevoix-Est
CA,CA-NB,CA-NB-CH,Charlotte
CA,CA-ON,CA-ON-KT,Chatham-Kent
CA,CA-MB,CA-MB-EE,Churchill and Northern Manitoba
CA,CA-QC,CA-QC-CT,Coaticook
CA,CA-ON,CA-ON-CO,Cochrane
CA,CA-NS,CA-NS-CO,Colchester
CA,CA-BC,CA-BC-CS,Columbia-Shuswap
CA,CA-BC,CA-BC-CX,Comox-Strathcona
CA,CA-BC,CA-BC-CV,Cowichan Valley
CA,CA-NS,CA-NS-CU,Cumberland
CA,CA-QC,CA-QC-DA,D'Autray
CA,CA-MB,CA-MB-SN,Dauphin
CA,CA-QC,CA-QC-DM,Deux-Montagnes
CA,CA-NS,CA-NS-DI,Digby
CA,CA-AB,CA-AB-FI,Drumheller
CA,CA-QC,CA-QC-DU,Drummond
CA,CA-ON,CA-ON-DF,Dufferin
CA,CA-ON,CA-ON-DR,Durham
CA,CA-BC,CA-BC-EK,East Kootenay
CA,CA-MB,CA-MB-ON,Eastern Manitoba - Eastman
CA,CA-AB,CA-AB-EL,Edmonton
CA,CA-AB,CA-AB-FT,Edson
CA,CA-ON,CA-ON-EL,Elgin
CA,CA-ON,CA-ON-ES,Essex
CA,CA-SK,CA-SK-ON,Estevan
CA,CA-MB,CA-MB-TO,Flin Flon and North West
CA,CA-AB,CA-AB-TR,Fort MacLeod
CA,CA-AB,CA-AB-ST,Fort McMurray
CA,CA-NT,CA-NT-FS,Fort Smith
CA,CA-BC,CA-BC-FV,Fraser Valley
CA,CA-BC,CA-BC-FF,Fraser-Fort George
CA,CA-ON,CA-ON-FR,Frontenac
CA,CA-QC,CA-QC-OU,Gatineau
CA,CA-NB,CA-NB-GL,Gloucester
CA,CA-AB,CA-AB-ET,Grande Cache
CA,CA-AB,CA-AB-NT,Grande Prairie
CA,CA-ON,CA-ON-SU,Greater Sudbury
