country_code,subnational1_code,subnational2_code,subnational2_name
GB,GB-SCT,GB-SCT-ABE,Aberdeen
GB,GB-SCT,GB-SCT-ABD,Aberdeenshire
GB,GB-WLS,GB-WLS-AGY,Anglesey
GB,GB-SCT,GB-SCT-ANS,Angus
GB,GB-NIR,GB-NIR-ANT,Antrim
GB,GB-SCT,GB-SCT-AGB,Argyll and Bute
GB,GB-NIR,GB-NIR-ARM,Armagh
GB,GB-ENG,GB-ENG-BDF,Bedfordshire
GB,GB-NIR,GB-NIR-BFS,Belfast
GB,GB-ENG,GB-ENG-BRC,Berkshire
GB,GB-WLS,GB-WLS-BGW,Blaenau Gwent
GB,GB-WLS,GB-WLS-BGE,Bridgend
GB,GB-ENG,GB-ENG-BST,Bristol
GB,GB-ENG,GB-ENG-BKM,Buckinghamshire
GB,GB-WLS,GB-WLS-CAY,Caerphilly
GB,GB-ENG,GB-ENG-CAM,Cambridgeshire
GB,GB-WLS,GB-WLS-CRF,Cardiff
GB,GB-WLS,GB-WLS-CMN,Carmarthenshire
GB,GB-WLS,GB-WLS-CGN,Ceredigion
GB,GB-ENG,GB-ENG-CHS,Cheshire
GB,GB-SCT,GB-SCT-CLK,Clackmannanshire
GB,GB-WLS,GB-WLS-CWY,Conwy
GB,GB-ENG,GB-ENG-CON,Cornwall
GB,GB-ENG,GB-ENG-CMA,Cumbria
GB,GB-WLS,GB-WLS-DEN,Denbighshire
GB,GB-ENG,GB-ENG-DBY,Derbyshire
GB,GB-NIR,GB-NIR-DRY,Derry
GB,GB-ENG,GB-ENG-DEV,Devon
GB,GB-ENG,GB-ENG-DOR,Dorset
GB,GB-NIR,GB-NIR-DOW,Down
GB,GB-SCT,GB-SCT-DGY,Dumfries and Galloway
GB,GB-SCT,GB-SCT-DND,Dundee
GB,GB-ENG,GB-ENG-DUR,Durham
GB,GB-SCT,GB-SCT-EAY,East Ayrshire
GB,GB-SCT,GB-SCT-EDU,East Dunbartonshire
GB,GB-SCT,GB-SCT-ELN,East Lothian
GB,GB-ENG,GB-ENG-ERY,East Riding of Yorkshire
GB,GB-ENG,GB-ENG-ESX,East Sussex
GB,GB-SCT,GB-SCT-EDH,Edinburgh
GB,GB-SCT,GB-SCT-ELS,Eilean Siar
GB,GB-ENG,GB-ENG-ESS,Essex
GB,GB-SCT,GB-SCT-FAL,Falkirk
GB,GB-NIR,GB-NIR-FER,Fermanagh
GB,GB-SCT,GB-SCT-FIF,Fife
GB,GB-WLS,GB-WLS-FLN,Flintshire
GB,GB-SCT,GB-SCT-GLG,Glasgow
GB,GB-ENG,GB-ENG-GLS,Gloucestershire
GB,GB-WLS,GB-WLS-GWN,Gwynedd
GB,GB-ENG,GB-ENG-HAL,Halton
GB,GB-ENG,GB-ENG-HAM,Hampshire
GB,GB-ENG,GB-ENG-HEF,Herefordshire
